GenomeID;Contigs
2483962989;JARUHN000000001
2483962989;JARUHN000000002
2483962989;JARUHN000000003
2483962989;JARUHN000000004
2483962989;JARUHN000000005
2483962989;JARUHN000000006
2483962989;JARUHN000000007
2483962989;JARUHN000000008
2483962989;JARUHN000000009
2483962989;JARUHN000000010
2483962989;JARUHN000000011
2483962989;JARUHN000000012
2483962989;JARUHN000000013
2483962989;JARUHN000000014
2483962989;JARUHN000000015
2483962989;JARUHN000000016
2483962989;JARUHN000000017
2483962989;JARUHN000000018
2483962989;JARUHN000000019
2483962989;JARUHN000000020
2483962989;JARUHN000000021
2483962989;JARUHN000000022
2483962989;JARUHN000000023
2483962989;JARUHN000000024
2483962989;JARUHN000000025
2483962989;JARUHN000000026
2483962989;JARUHN000000027
2483962989;JARUHN000000028
2483962989;JARUHN000000029
2483962989;JARUHN000000030
2483962989;JARUHN000000031
2483962989;JARUHN000000032
2483962989;JARUHN000000033
2483962989;JARUHN000000034
2483962989;JARUHN000000035
2483962989;JARUHN000000036
2483962989;JARUHN000000037
2483962989;JARUHN000000038
2483962989;JARUHN000000039
2483962989;JARUHN000000040
2483962989;JARUHN000000041
2483962989;JARUHN000000042
2483962989;JARUHN000000043
2483962989;JARUHN000000044
2483962989;JARUHN000000045
2483962989;JARUHN000000046
2483962989;JARUHN000000047
2483962989;JARUHN000000048
2483962989;JARUHN000000049
2483962989;JARUHN000000050
2483962989;JARUHN000000051
2483962989;JARUHN000000052
2483962989;JARUHN000000053
2483962989;JARUHN000000054
2483962989;JARUHN000000055
2483962989;JARUHN000000056
2483962989;JARUHN000000057
2483962989;JARUHN000000058
2483962989;JARUHN000000059
2483962989;JARUHN000000060
2483962989;JARUHN000000061
2483962989;JARUHN000000062
2483962989;JARUHN000000063
2483962989;JARUHN000000064
2483962989;JARUHN000000065
2483962989;JARUHN000000066
2483962989;JARUHN000000067
2483962989;JARUHN000000068
2483962989;JARUHN000000069
2483962989;JARUHN000000070
2483962989;JARUHN000000071
2483962989;JARUHN000000072
2483962989;JARUHN000000073
2285045498;JANKBW000000001
2285045498;JANKBW000000002
2285045498;JANKBW000000003
2285045498;JANKBW000000004
2285045498;JANKBW000000005
2285045498;JANKBW000000006
2285045498;JANKBW000000007
2285045498;JANKBW000000008
2285045498;JANKBW000000009
2285045498;JANKBW000000010
2279038632;QOIS00000001
2279038632;QOIS00000002
2279038632;QOIS00000003
2279038632;QOIS00000004
2279038632;QOIS00000005
2279038632;QOIS00000006
2279038632;QOIS00000007
2279038632;QOIS00000008
2279038632;QOIS00000009
2279038632;QOIS00000010
2279038632;QOIS00000011
2279038632;QOIS00000012
2279038632;QOIS00000013
2279038632;QOIS00000014
2279038632;QOIS00000015
2279038632;QOIS00000016
2279038632;QOIS00000017
2279038632;QOIS00000018
2279038632;QOIS00000019
2279038632;QOIS00000020
2279038632;QOIS00000021
2279038632;QOIS00000022
2279038632;QOIS00000023
2279038632;QOIS00000024
2279038632;QOIS00000025
2279038632;QOIS00000026
2279038632;QOIS00000027
2279038632;QOIS00000028
2279038632;QOIS00000029
2279038632;QOIS00000030
2279038632;QOIS00000031
2279038632;QOIS00000032
2279038632;QOIS00000033
2279038632;QOIS00000034
2279038632;QOIS00000035
2279038632;QOIS00000036
2279038632;QOIS00000037
2279038632;QOIS00000038
2279038632;QOIS00000039
2279038632;QOIS00000040
2279038632;QOIS00000041
2279038632;QOIS00000042
2279038632;QOIS00000043
2279038632;QOIS00000044
2279038632;QOIS00000045
2279038632;QOIS00000046
2279038632;QOIS00000047
2279038632;QOIS00000048
2279038632;QOIS00000049
2279038632;QOIS00000050
2279038632;QOIS00000051
2279038632;QOIS00000052
2279038632;QOIS00000053
2279038632;QOIS00000054
2279038632;QOIS00000055
2279038632;QOIS00000056
2279038632;QOIS00000057
2279038632;QOIS00000058
2279038632;QOIS00000059
2279038632;QOIS00000060
2279038632;QOIS00000061
2279038632;QOIS00000062
2279038632;QOIS00000063
2257489923;CP098671
2257489923;CP098672
2257489923;CP098673
2257489923;CP098674
2257489923;CP098675
2257489923;CP098676
2257489923;CP098677
2257489923;CP098678
2257489923;CP098679
2257489923;CP098610
2257489923;CP098611
2257489923;CP098612
2257489923;CP098613
2257489923;CP098614
2257489923;CP098615
2257489923;CP098616
2257489923;CP098617
2257489923;CP098618
2257489923;CP098619
2257489923;CP098620
2257489923;CP098621
2257489923;CP098622
2257489923;CP098623
2257489923;CP098624
2257489923;CP098625
2257489923;CP098626
2257489923;CP098627
2257489923;CP098628
2257489923;CP098629
2257489923;CP098630
2257489923;CP098631
2257489923;CP098632
2257489923;CP098633
2257489923;CP098634
2257489923;CP098635
2257489923;CP098636
2257489923;CP098637
2257489923;CP098638
2257489923;CP098639
2257489923;CP098640
2257489923;CP098641
2257489923;CP098642
2257489923;CP098643
2257489923;CP098644
2257489923;CP098645
2257489923;CP098646
2257489923;CP098647
2257489923;CP098648
2257489923;CP098649
2257489923;CP098650
2257489923;CP098651
2257489923;CP098652
2257489923;CP098653
2257489923;CP098654
